ja	and
tappio	defeat
jatko	follow-on, follow-up
näkemys	view
mestari	master
teollisuus	industry
kilo	shine
käsittely	handling
vaimo	wife
tunne	feeling
helmikuu	February
ote	grasp
huhtikuu	April
uhri	victim
idea	idea
rahoitus	financing
viikonloppu	weekend
liikevaihto	revenue
kärki	point, tip, cusp
laulu	song
eläke	pension
laatu	quality
koira	dog
vastaus	answer; reply
seuraus	consequence
joulu	Christmas
työttömyys	Unemployment.
kotimaa	homeland
väli	gap, space
lista	list
karjalainen	A Karelian person.
valo	light
jakso	period
vuosituhat	A millennium.
lausunto	statement
kaupunginhallitus	city board
virhe	mistake
asiantuntija	expert
kuljettaja	driver
onnettomuus	accident
eläin	animal
uudistus	reform
ase	weapon
korvaus	compensation, reimbursement, reparation
vastustaja	An opponent in a game, fight, competition, politics etc.
käräjäoikeus	Finnish District Court
harri	grayling, Thymallus thymallus
työtön	An unemployed person.
ilma	air
sotilas	soldier
tunnelma	atmosphere, ambiance
pääkaupunki	capital
japani	Japanese language
kokonaisuus	whole, entirety, totality; big picture, gestalt.
viesti	A message.
ravintola	restaurant
espanja	The Spanish language.
vero	tax
aamu	morning
kuolema	death, demise, decease
englanti	English
pinta	surface
taito	skill
henkilökunta	staff
puute	shortage
ohjaaja	director
pari	couple, pair
vaara	Danger, risk, peril, hazard, jeopardy.
ikä	age
maksu	fee
riski	A risk
tanska	Danish
työnantaja	An employer
numero	digit, number
vanhus	old person
huippukokous	summit
osapuoli	party
vuosisata	A century
mielipide	An opinion.
jussi	Midsummer Day
kuluttaja	A consumer.
tuomio	sentence, conviction, verdict
paperi	paper
yllätys	surprise
tekniikka	technology
verkko	net
opetus	teaching
kirjoittaja	writer
suosio	popularity
lääni	province; administrative region in size between municipal and national
vuoro	turn
isku	hit, blow
pakko	obligation, force, necessity or compulsion.
summa	sum
pääjohtaja	general director, chief executive officer
aikuinen	adult
mitali	medal
henkilöstö	personnel, staff
tontti	parcel, plot
peruste	grounds, as basis or justification.
lukio	In Finnish school system, a 3-year school that prepares the students for academic studies corresponds to high school in many other places.
aikataulu	timetable
sääntö	rule
tavara	A good, goods, ware
rikos	crime, offence/offense, criminality
finaali	finale
kunnia	honor, honour
käynti	visit; gait, walk;
kaveri	pal, friend, buddy, mate
vahinko	mishap
virkamies	civil servant, public officer, official
perinne	tradition
saari	island
uutinen	An item of news.
kysyntä	demand
näyttelijä	actor
poliitikko	A politician.
demari	A social democrat.
jäsenmaa	member country
naapuri	Neighbour/neighbor.
paine	pressure
yksikkö	A unit.
maaseutu	countryside
osasto	A department.
sydän	heart
laite	apparatus, device
väri	colour
jää	ice
piha	yard
haaste	challenge
tyyli	style
kuu	moon, satellite
tytär	daughter
ykkönen	one
hämäläinen	A person living in or originating from the area of the historical province of Häme, sometimes called Tavastian or Tavastlander in English texts.
käsitys	conception
näkökulma	perspective, point of view
tuuli	wind
hyöty	gain, benefit
isäntä	master
ennätys	record
suu	mouth
sähkö	electricity
kala	fish
yhteisö	community
investointi	an investment
pöytä	table
turnaus	tournament.
kohtalo	destiny
tietokone	A computer.
palo	fire; an event of something burning; ardor
maatalous	agriculture
aine	matter, material
vihreä	The color green
toive	wish
kilpailija	competitor
haastattelu	interview
paikkakunta	locality
rakkaus	love, affection
serbi	A Serb.
korko	interest, interest rate
vesa	sprout; bud; young tree; scion; (informal) child, kid
unioni	union
harjoitus	exercise, practice
verotus	taxation
lippu	flag, banner
pallo	ball
yhtye	group, band
albaani	Albanian
enemmistö	majority
sisältö	content, contents
halli	large building used for sports or exhibitions, eg. indoor arena, gallery
vaihde	gear (as in machinery); switch
lääke	medicine remedy, drug
laina	loan
väkivalta	Violence
silta	bridge
aste	grade
juuri	root
suunnittelu	planning
syyte	Accusation, charge, indictment.
maalivahti	In most games, a goalkeeper.
tahti	pace, rate, rhythm
hevonen	horse, Equus caballus
karjala	The Karelian language
maailmancup	world cup
urheilu	athletics or sports in general.
seinä	wall
huume	A drug, narcotic
pelko	Fear, dread.
cup	cup
vierailu	visitation, call
kunnanhallitus	municipal board, municipal executive committee
lumi	snow
indonesia	Indonesian
hotelli	A hotel.
ilo	joy, delight, happiness, pleasure.
kirjasto	library
homma	job, work, task at hand
tähti	star
kulta	gold
puhelin	telephone
tasavalta	republic
huippu	top, peak, summit
omistus	ownership
valvonta	monitoring, surveillance
kysely	inquiry, enquiry, query
päättäjä	decision-maker, policymaker
konserni	corporation,group, combine
halu	desire
leikkaus	A cut or cutting
hallinto	government, management, administration
orkesteri	An orchestra
romaani	novel
iltapäivä	An afternoon, roughly the period between 12 noon and 6 p.m.
vienti	export
teema	theme
kiista	dispute, disagreement
pörssi	An exchange especially a stock exchange.
leiri	A camp.
lautakunta	In municipal government, a committee appointed by the municipal council, which has the authority to make decisions within an agenda specified by the law and the municipal council concerned; sometimes also translated into English as board.
kannatus	support
rakenne	structure
sää	weather
ministeriö	A political ministry, office
hyökkäys	attack
hehtaari	hectare
puola	The Polish language.
harrastus	hobby
loma	holiday, vacation; furlough
juna	train
sijoitus	placement
tilasto	statistics
sali	hall
asenne	attitude
lehtinen	leaflet
maisema	landscape, view
meri	sea
perustaminen	foundation
tarjous	An offer, a tender.
odotus	wait
periaate	principle
velka	debt
materiaali	material
jäsenyys	membership
laiva	ship
museo	museum
kirje	letter
länsi	west
todellisuus	reality
äänestys	voting, poll, ballot
järvi	lake
suomi	The Finnish language.
palvelus	service
kaupunginjohtaja	mayor
matkustaja	passenger
säästö	saving
uhka	threat
kiinteistö	real estate
kohta	place, location, spot
varapuheenjohtaja	vice-chairman, vice-chairperson
pohjoinen	north
edellytys	prerequisite
veikko	brother
rehtori	A rector, schoolmaster/schoolmistress, headmaster/headmistress.
vinkki	hint
urheilija	A sportsman or sportswoman.
väestö	Population; the people living within a political or geographical boundary.
reitti	route
järjestely	arrangement, deal
usko	faith
talli	stable
posti	post, postal service
ilmoitus	notification, notice
sairaus	sickness, illness, malady, disease, ailment
työelämä	working life
rivi	row, line
taho	direction
kiinnostus	interest
arkisto	archive
ohje	help, instruction
toimisto	office
kyky	ability, capacity
kolmannes	one third
porukka	gang, band, crowd
runo	A poem.
työllisyys	employment
lukija	reader
maine	reputation
kiire	hurry, haste
katto	ceiling
puolustus	defence
etelä	south
kortti	card
käyttäjä	user
päiväkoti	day care center
amerikkalainen	American
muisto	memory, recollection
lintu	A bird.
kannattaja	A supporter
ammatti	occupation, profession
satama	harbour, port, haven
terveys	health
bändi	band, group
lakko	strike
työvoima	labor force, labour force, labour, manpower, workforce
kampanja	campaign
tosi	The truth, reality, the real thing.
alus	vessel, craft, ship
hollanti	The Dutch language.
tauti	disease
itsenäisyys	independence
kiitos	thank
järjestäjä	organizer
tonni	A metric ton.
tuottaja	producer
neuvosto	A council.
karhu	bear (animal)
uutistoimisto	news agency
radio	radio
ympäristökeskus	A regional office of the Finnish Ministry of Environment, officially translated into English as Centre for Environment.
ensi-ilta	premiere.
ralli	rally
maajoukkue	national team
koko	size
hiihto	skiing
hallinta	control
oppositio	opposition
aloite	initiative
maalaus	painting
tulkinta	interpretation
ikkuna	window
hopea	silver
kanava	canal
valtiovarainministeri	A minister or secretary of finance, or in some countries, treasurer.
liikunta	exercise
ilmiö	phenomenon
avustus	A grant.
valtaosa	Major part, majority, bulk.
kirjallisuus	literature
tuotto	revenue, gross revenue, proceeds
paluu	return
lama	economic depression
tapaaminen	meeting, appointment, gathering, rendezvous, seeing
ammattilainen	professional, pro
jääkiekko	Ice hockey.
tori	market, market square
lopputulos	final result
kasvot	face
vene	boat
vuorokausi	A day
lähtökohta	starting point
kakkonen	two (digit, symbol); deuce; second base; second gear
päällikkö	chief
alkuvuosi	The early part of a year.
kiekko	A disk or a disc
pääsy	access, clearance
demokratia	democracy
ostaja	A buyer.
parantaminen	act of healing or curing
sentti	The SI prefix centi-.
sukupolvi	generation
turva	safety
tuomari	judge, justice
vaate	piece of clothing, garment
anne	gift
varsi	The stalk of a plant.
luottamus	trust
lento	The act of flying or being in the air.
maku	taste, flavour
pääkaupunkiseutu	Helsinki metropolitan area
oma	Usually in plural friendly
suosikki	favourite/favorite
taivas	sky
surma	A violent death, mainly used of humans; Personification of sudden death; Killing, voluntary manslaughter under mitigating circumstances.
selkä	back
öljy	oil
korotus	raise, increase
joki	river
juoksu	A run
ihme	A miracle, wonder
kruunu	crown
pääsihteeri	Secretary General
ilves	lynx
aurinko	The Sun.
bussi	bus
karsinta	pruning
ooppera	opera
lehtikuva	A photograph taken for and published in a newspaper.
äänestäjä	voter
maija	Black Maria, paddy wagon
arki	weekday
syyttäjä	prosecutor
tuli	fire
ohjaus	control, guidance, steering, instruction
mitta	size
presidenttiehdokas	presidential candidate
pakkanen	Frost, as sub-zero temperature of ambient air.
huone	room
kokoelma	collection
kunnanjohtaja	mayor
festivaali	festival
totuus	truth
kokeilu	A test, experiment; attempt, try.
koululainen	schoolchild, schoolgoer
tanssi	dance
viikonvaihde	weekend
ajo	driving
kännykkä	A mobile phone; a cellular.
eeva	woman
kivi	stone
toteuttaminen	realization, execution
valitus	A moan, groan, wailing, lament.
tohtori	doctor
polvi	a knee
pyörä	A wheel.
energia	energy
hakija	applicant
vasemmistoliitto	A Finnish political party.
järjestys	order
este	An obstacle, barrier, hindrance.
seminaari	seminar
siirtyminen	transition
tuntuma	touch, feel, feeling
laita	An edge
sari	sari (Indian piece of clothing)
liha	meat
tuomioistuin	court
puisto	park
viljelijä	farmer
talousarvio	budget
näyttämö	stage, scene
tili	account
puolustaja	defender
litra	litre
marja	berry
sanomalehti	A newspaper
matkailu	tourism
omaisuus	"one's properties possessions, assets; estate:"
mari	Mari
remontti	renovation
neliö	square
tauko	A break
maailmanmestari	world champion
vapaus	freedom
vaihto	exchange
messu	mass
kreikka	Greek language
oppilaitos	A learning institution; anything from elementary school to university.
yläaste	The upper level of the comprehensive school, consists of the three grades; corresponds lower high school.
vankila	prison
näyttö	monitor
terveydenhuolto	health care
terveyskeskus	clinic, outpatient clinic
laulaja	singer
tahto	will
media	media
vuodenvaihde	turn of the year
kannanotto	contention, position
päävalmentaja	head coach
osoite	address
pelto	field
sanoma	A message, communication
satu	A fairy tale, fable.
dokumentti	Document.
kuningas	king
organisaatio	organization
kaava	formula
ohjelmisto	software
lukema	Reading
lava	bed
hahmo	shape
operaatio	operation
aaltonen	small wave
bosnia	Bosnian
pronssi	bronze
hankinta	acquisition
urakka	contract
jalkapallo	Football
filmi	film
etusivu	front page, front cover
edellisvuosi	previous year, year before
leipä	bread
presidentinvaali	presidential election
toiminnanjohtaja	A leading executive position in a non-profit organization. English terms for corresponding position include CEO, secretary-general.
valmistelu	preparation
toimenpide	operation
hovioikeus	A court of appeal.
albania	The Albanian language.
sampo	A magical artifact in the Kalevala; it provided wealth to its owner.
vastaanotto	reception
suku	extended family
ketju	chain
kuoro	choir
lähde	spring
vika	flaw, malfunction, failure, problem
niemi	cape, peninsula
tiedotusväline	news medium
pituus	length
rangaistus	punishment
suoritus	performance
unkari	Hungarian language
korva	ear
makedonia	Macedonian
yksilö	individual
lentokenttä	airport
säveltäjä	composer
keskuspankki	central bank
lupaus	promise, pledge
sektori	sector
opiskelu	study
hakemus	application
kulutus	consumption
kauppias	trader
vanki	A prisoner.
teho	power
oikeudenkäynti	A trial,process, judicial proceedings pl.
herra	mister, gentleman, sir
moottori	engine, motor
eduskuntaryhmä	parliamentary group
henkilöauto	passenger car
pommitus	bombing
osallistuminen	attendance
vamma	handicap
tosiasia	a fact
ruumis	body
outokumpu	A large belly; a beer belly.
haitta	A disadvantage, hindrance
luonne	nature, character
elintarvike	groceries
eläkeläinen	pensioner
väite	claim, argument
serbia	Serbian
toiminto	feature
kirsi	Frost in the ground.
ajankohta	A point in time; date
